Nº Servei,DATA,HORA,X,Y,NOM_FOC,REGIO,SUPERFÍCIE (HA),Observacions
170311542,26/08/2017,19:56:00,281150,4616959,Gimenells i el Pla de la Font,RELL,"0,0000",; 0333; 1234
170310952,15/08/2017,14:52:00,335368,4772426,"Conca de dalt, Sant Corneli",RELL,"0,0200",; 5031
170309590,21/07/2017,11:52:00,326673,4697256,Avellanos,RELL,"0,0000",5032
170308942,09/07/2017,17:24:00,361171,4614325,Vergós Guerrejat,RELL,"5,7000",
170308938,09/07/2017,16:29:00,319747,4591142,Cervià de des Garrigues,RELL,"0,0300",Pallissa del Rovellat; 60631+05061
170308930,09/07/2017,13:53:00,327279,4585869,Albi,RELL,"0,0500",3BRPs+05061
170308896,08/07/2017,21:22:00,316310,4593135,Castelldans,RELL,"0,0000",Costat de la carretera; 30730
170308336,28/06/2017,21:34:00,368142,4612594,Sant Guim de Freixenet,RELL,"0,0010","04490, 10434, 33130, 33234"
170308175,26/06/2017,7:54:00,334015,4678874,Conca de Dalt,RELL,"0,0020",; 
170308142,25/06/2017,16:10:00,354496,4642305,Vilanova de l'Aguda,RELL,"0,0370",; 
